dermatology_lesions|dermatology_lesions_pkey|CREATE UNIQUE INDEX dermatology_lesions_pkey ON public.dermatology_lesions USING btree (id)
dermatology_lesions|idx_dermatology_lesions_patient|CREATE INDEX idx_dermatology_lesions_patient ON public.dermatology_lesions USING btree (tenant_id, patient_id)
device_calibrations|device_calibrations_pkey|CREATE UNIQUE INDEX device_calibrations_pkey ON public.device_calibrations USING btree (id)
device_calibrations|idx_calibrations_tenant|CREATE INDEX idx_calibrations_tenant ON public.device_calibrations USING btree (tenant_id)
diabetes_glucose_logs|diabetes_glucose_logs_pkey|CREATE UNIQUE INDEX diabetes_glucose_logs_pkey ON public.diabetes_glucose_logs USING btree (id)
diabetes_glucose_logs|idx_diabetes_glucose_logs_patient|CREATE INDEX idx_diabetes_glucose_logs_patient ON public.diabetes_glucose_logs USING btree (tenant_id, patient_id)
diag_molecular_logs|diag_molecular_logs_pkey|CREATE UNIQUE INDEX diag_molecular_logs_pkey ON public.diag_molecular_logs USING btree (id)
dialysis_sessions|dialysis_sessions_pkey|CREATE UNIQUE INDEX dialysis_sessions_pkey ON public.dialysis_sessions USING btree (id)
dialysis_sessions|idx_dialysis_sessions_patient|CREATE INDEX idx_dialysis_sessions_patient ON public.dialysis_sessions USING btree (tenant_id, patient_id)
diet_meals|diet_meals_pkey|CREATE UNIQUE INDEX diet_meals_pkey ON public.diet_meals USING btree (id)
diet_meals|idx_diet_meals_tenant_id|CREATE INDEX idx_diet_meals_tenant_id ON public.diet_meals USING btree (tenant_id)
diet_orders|diet_orders_pkey|CREATE UNIQUE INDEX diet_orders_pkey ON public.diet_orders USING btree (id)
diet_orders|idx_diet_orders_tenant_id|CREATE INDEX idx_diet_orders_tenant_id ON public.diet_orders USING btree (tenant_id)
discount_rules|discount_rules_pkey|CREATE UNIQUE INDEX discount_rules_pkey ON public.discount_rules USING btree (id)
doctor_inventory_request_items|doctor_inventory_request_items_pkey|CREATE UNIQUE INDEX doctor_inventory_request_items_pkey ON public.doctor_inventory_request_items USING btree (id)
doctor_inventory_request_items|idx_doctor_inventory_request_items_tenant_id|CREATE INDEX idx_doctor_inventory_request_items_tenant_id ON public.doctor_inventory_request_items USING btree (tenant_id)
doctor_inventory_requests|doctor_inventory_requests_pkey|CREATE UNIQUE INDEX doctor_inventory_requests_pkey ON public.doctor_inventory_requests USING btree (id)
doctor_inventory_requests|idx_doctor_inventory_requests_tenant_id|CREATE INDEX idx_doctor_inventory_requests_tenant_id ON public.doctor_inventory_requests USING btree (tenant_id)
drug_batches|drug_batches_pkey|CREATE UNIQUE INDEX drug_batches_pkey ON public.drug_batches USING btree (id)
drug_batches|idx_drug_batches_fefo|CREATE INDEX idx_drug_batches_fefo ON public.drug_batches USING btree (tenant_id, drug_id, expiry_date)
drug_batches|idx_drug_batches_tenant_id|CREATE INDEX idx_drug_batches_tenant_id ON public.drug_batches USING btree (tenant_id)
drug_interactions|drug_interactions_pkey|CREATE UNIQUE INDEX drug_interactions_pkey ON public.drug_interactions USING btree (id)
ecg_records|ecg_records_pkey|CREATE UNIQUE INDEX ecg_records_pkey ON public.ecg_records USING btree (id)
ecg_records|idx_ecg_records_patient|CREATE INDEX idx_ecg_records_patient ON public.ecg_records USING btree (tenant_id, patient_id)
ecg_reports|ecg_reports_pkey|CREATE UNIQUE INDEX ecg_reports_pkey ON public.ecg_reports USING btree (id)
ecg_reports|idx_ecg_reports_visit|CREATE INDEX idx_ecg_reports_visit ON public.ecg_reports USING btree (visit_id)
emar_administrations|emar_administrations_pkey|CREATE UNIQUE INDEX emar_administrations_pkey ON public.emar_administrations USING btree (id)
emar_orders|emar_orders_pkey|CREATE UNIQUE INDEX emar_orders_pkey ON public.emar_orders USING btree (id)
emergency_beds|emergency_beds_pkey|CREATE UNIQUE INDEX emergency_beds_pkey ON public.emergency_beds USING btree (id)
emergency_beds|idx_emergency_beds_tenant_id|CREATE INDEX idx_emergency_beds_tenant_id ON public.emergency_beds USING btree (tenant_id)
emergency_trauma_assessments|emergency_trauma_assessments_pkey|CREATE UNIQUE INDEX emergency_trauma_assessments_pkey ON public.emergency_trauma_assessments USING btree (id)
emergency_trauma_assessments|idx_emergency_trauma_assessments_tenant_id|CREATE INDEX idx_emergency_trauma_assessments_tenant_id ON public.emergency_trauma_assessments USING btree (tenant_id)
emergency_trauma_assessments|idx_emergency_trauma_tenant_id|CREATE INDEX idx_emergency_trauma_tenant_id ON public.emergency_trauma_assessments USING btree (tenant_id)
emergency_visits|emergency_visits_pkey|CREATE UNIQUE INDEX emergency_visits_pkey ON public.emergency_visits USING btree (id)
emergency_visits|idx_emergency_visits_board|CREATE INDEX idx_emergency_visits_board ON public.emergency_visits USING btree (tenant_id, status, esi_level)
emergency_visits|idx_emergency_visits_tenant_id|CREATE INDEX idx_emergency_visits_tenant_id ON public.emergency_visits USING btree (tenant_id)
emergency_visits|idx_er_visits_phase|CREATE INDEX idx_er_visits_phase ON public.emergency_visits USING btree (tenant_id, status, esi_level)
emergency_visits|idx_er_visits_tenant_facility|CREATE INDEX idx_er_visits_tenant_facility ON public.emergency_visits USING btree (tenant_id, facility_id)
employee_exposures|employee_exposures_pkey|CREATE UNIQUE INDEX employee_exposures_pkey ON public.employee_exposures USING btree (id)
employee_exposures|idx_employee_exposures_tenant_id|CREATE INDEX idx_employee_exposures_tenant_id ON public.employee_exposures USING btree (tenant_id)
employees|employees_pkey|CREATE UNIQUE INDEX employees_pkey ON public.employees USING btree (id)
endoscopy_reports|endoscopy_reports_pkey|CREATE UNIQUE INDEX endoscopy_reports_pkey ON public.endoscopy_reports USING btree (id)
endoscopy_reports|idx_endoscopy_reports_patient|CREATE INDEX idx_endoscopy_reports_patient ON public.endoscopy_reports USING btree (tenant_id, patient_id)
ent_surgical_logs|ent_surgical_logs_pkey|CREATE UNIQUE INDEX ent_surgical_logs_pkey ON public.ent_surgical_logs USING btree (id)
ep_ablation_logs|ep_ablation_logs_pkey|CREATE UNIQUE INDEX ep_ablation_logs_pkey ON public.ep_ablation_logs USING btree (id)
exam_rooms|exam_rooms_pkey|CREATE UNIQUE INDEX exam_rooms_pkey ON public.exam_rooms USING btree (id)
exam_rooms|idx_exam_rooms_tenant_status|CREATE INDEX idx_exam_rooms_tenant_status ON public.exam_rooms USING btree (tenant_id, status)
eye_exams|eye_exams_pkey|CREATE UNIQUE INDEX eye_exams_pkey ON public.eye_exams USING btree (id)
eye_exams|idx_eye_exams_patient|CREATE INDEX idx_eye_exams_patient ON public.eye_exams USING btree (tenant_id, patient_id)
facilities|facilities_pkey|CREATE UNIQUE INDEX facilities_pkey ON public.facilities USING btree (id)
facilities|idx_facilities_parent|CREATE INDEX idx_facilities_parent ON public.facilities USING btree (parent_facility_id)
facilities|idx_facilities_tenant|CREATE INDEX idx_facilities_tenant ON public.facilities USING btree (tenant_id)
facilities|idx_facilities_tenant_id|CREATE INDEX idx_facilities_tenant_id ON public.facilities USING btree (tenant_id)
facility_modules|facility_modules_pkey|CREATE UNIQUE INDEX facility_modules_pkey ON public.facility_modules USING btree (id)
facility_modules|idx_facility_modules_tenant|CREATE INDEX idx_facility_modules_tenant ON public.facility_modules USING btree (tenant_id)
facility_modules|uq_facility_module|CREATE UNIQUE INDEX uq_facility_module ON public.facility_modules USING btree (tenant_id, module_index)
fhir_resources|fhir_resources_pkey|CREATE UNIQUE INDEX fhir_resources_pkey ON public.fhir_resources USING btree (id)
fhir_resources|fhir_resources_resource_type_resource_id_tenant_id_key|CREATE UNIQUE INDEX fhir_resources_resource_type_resource_id_tenant_id_key ON public.fhir_resources USING btree (resource_type, resource_id, tenant_id)
fhir_resources|idx_fhir_id|CREATE INDEX idx_fhir_id ON public.fhir_resources USING btree (resource_id, tenant_id)
fhir_resources|idx_fhir_type|CREATE INDEX idx_fhir_type ON public.fhir_resources USING btree (resource_type, tenant_id)
fhir_resources|idx_fhir_updated|CREATE INDEX idx_fhir_updated ON public.fhir_resources USING btree (last_updated, tenant_id)
finance_accounts_payable|finance_accounts_payable_pkey|CREATE UNIQUE INDEX finance_accounts_payable_pkey ON public.finance_accounts_payable USING btree (id)
finance_accounts_payable|idx_ap_due|CREATE INDEX idx_ap_due ON public.finance_accounts_payable USING btree (due_date, tenant_id)
finance_accounts_payable|idx_ap_status|CREATE INDEX idx_ap_status ON public.finance_accounts_payable USING btree (payment_status, tenant_id)
finance_accounts_payable|idx_ap_vendor|CREATE INDEX idx_ap_vendor ON public.finance_accounts_payable USING btree (vendor_id, tenant_id)
finance_accounts_receivable|finance_accounts_receivable_pkey|CREATE UNIQUE INDEX finance_accounts_receivable_pkey ON public.finance_accounts_receivable USING btree (id)
finance_accounts_receivable|idx_ar_due|CREATE INDEX idx_ar_due ON public.finance_accounts_receivable USING btree (due_date, tenant_id)
finance_accounts_receivable|idx_ar_patient|CREATE INDEX idx_ar_patient ON public.finance_accounts_receivable USING btree (patient_id, tenant_id)
finance_accounts_receivable|idx_ar_payer|CREATE INDEX idx_ar_payer ON public.finance_accounts_receivable USING btree (payer_type, payer_id, tenant_id)
finance_accounts_receivable|idx_ar_status|CREATE INDEX idx_ar_status ON public.finance_accounts_receivable USING btree (collection_status, tenant_id)
finance_chart_of_accounts|finance_chart_of_accounts_pkey|CREATE UNIQUE INDEX finance_chart_of_accounts_pkey ON public.finance_chart_of_accounts USING btree (id)
finance_chart_of_accounts|idx_coa_tenant_id|CREATE INDEX idx_coa_tenant_id ON public.finance_chart_of_accounts USING btree (tenant_id)
finance_chart_of_accounts|uq_coa_tenant_code|CREATE UNIQUE INDEX uq_coa_tenant_code ON public.finance_chart_of_accounts USING btree (tenant_id, account_code)
finance_cost_centers|finance_cost_centers_pkey|CREATE UNIQUE INDEX finance_cost_centers_pkey ON public.finance_cost_centers USING btree (id)
finance_cost_centers|idx_cc_tenant_id|CREATE INDEX idx_cc_tenant_id ON public.finance_cost_centers USING btree (tenant_id)
finance_doctor_commissions|finance_doctor_commissions_pkey|CREATE UNIQUE INDEX finance_doctor_commissions_pkey ON public.finance_doctor_commissions USING btree (id)
finance_doctor_commissions|idx_finance_doctor_commissions_tenant_id|CREATE INDEX idx_finance_doctor_commissions_tenant_id ON public.finance_doctor_commissions USING btree (tenant_id)
finance_fiscal_years|finance_fiscal_years_pkey|CREATE UNIQUE INDEX finance_fiscal_years_pkey ON public.finance_fiscal_years USING btree (id)
finance_journal_entries|finance_journal_entries_pkey|CREATE UNIQUE INDEX finance_journal_entries_pkey ON public.finance_journal_entries USING btree (id)
finance_journal_entries|idx_je_tenant_id|CREATE INDEX idx_je_tenant_id ON public.finance_journal_entries USING btree (tenant_id)
